City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,80.49,few clouds,-0.6,73.0833,Pebbles Inn
2,Qaanaaq,GL,-11.16,overcast clouds,77.484,-69.3632,Hotel Qaanaaq
3,Punta Arenas,CL,59.11,broken clouds,-53.15,-70.9167,Hotel Lacolet
5,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
7,Nishihara,JP,63.68,scattered clouds,26.1842,127.7558,ユインチホテル南城
8,Longyearbyen,SJ,26.44,broken clouds,78.2186,15.6401,The Vault
9,Barranca,PE,70.11,overcast clouds,-10.75,-77.7667,Emperador
10,Ilulissat,GL,0.81,overcast clouds,69.2167,-51.1,Best Western Plus Hotel Ilulissat
11,Byron Bay,AU,80.94,broken clouds,-28.65,153.6167,Lord Byron Resort
12,Ushuaia,AR,56.86,scattered clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
13,Vila Franca Do Campo,PT,59.41,overcast clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
14,Kodiak,US,29.88,broken clouds,57.79,-152.4072,Shelikof Lodge
15,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,Townhouse Hotel
17,San Rafael,AR,84.79,few clouds,-34.6177,-68.3301,Hotel Regional
18,Samana,DO,74.62,overcast clouds,19.2056,-69.3369,Hotel Cotubanamá
20,Prien,US,64.38,clear sky,30.1819,-93.2738,Golden Nugget Lake Charles Hotel & Casino
21,Miedzychod,PL,43.52,scattered clouds,52.5988,15.897,Neptun
23,Port Lincoln,AU,82.58,clear sky,-34.7333,135.8667,Boston Hotel
24,San Jose,US,60.01,clear sky,37.3394,-121.895,Hotel De Anza
25,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
26,Puerto Ayora,EC,73.54,clear sky,-0.7393,-90.3518,Hostal La Mirada De Solitario George
27,Haines Junction,CA,12.15,overcast clouds,60.7522,-137.5108,Parkside Inn
28,Tiksi,RU,-30.15,overcast clouds,71.6872,128.8694,Арктика
29,Tuktoyaktuk,CA,-5.8,mist,69.4541,-133.0374,Hunter's B&B
30,Atar,MR,64.72,overcast clouds,20.5169,-13.0499,فندق سكليل
32,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti International Resort
33,Talnakh,RU,-41.8,broken clouds,69.4865,88.3972,Талнах
34,Bom Jesus,BR,74.32,light rain,-9.0744,-44.3586,Hotel Brasão
35,Ponta Do Sol,PT,65.01,scattered clouds,32.6667,-17.1,Estalagem Ponta do Sol
36,Kahului,US,77.04,clear sky,20.8947,-156.47,Maui Seaside Hotel
37,Port Elizabeth,ZA,60.31,clear sky,-33.918,25.5701,Waterford Hotel
41,Jamestown,US,33.55,light snow,42.097,-79.2353,DoubleTree Jamestown
42,Grindavik,IS,30.67,broken clouds,63.8424,-22.4338,The Retreat at Blue Lagoon Iceland
43,Georgetown,MY,78.73,moderate rain,5.4112,100.3354,Page 63 hostel
44,Barra Do Garcas,BR,70.43,light rain,-15.89,-52.2567,Pousada Portal
45,Karatu,TZ,59.77,light rain,-3.3333,35.6667,The Octagon Safari Lodge
46,Victoria,HK,66.33,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
49,Puerto Madryn,AR,76.26,overcast clouds,-42.7692,-65.0385,Hotel Gran Palace
50,Rio Gallegos,AR,55.45,broken clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
51,Zatoka,UA,36.14,broken clouds,46.0725,30.4654,Жемчужина Затоки
55,Kasempa,ZM,63.57,light rain,-13.4584,25.8338,Kasmpa Council Guest House
56,Bethel,US,42.01,overcast clouds,41.3712,-73.414,Hampton Inn Danbury
58,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Nuevo Ostende
61,Ancud,CL,57.63,overcast clouds,-41.8697,-73.8203,Cabañas
62,Troitsko-Pechorsk,RU,-24.23,overcast clouds,62.7084,56.1964,"Гостиница ""Печора"""
63,Salalah,OM,71.38,broken clouds,17.0151,54.0924,Muscat International Hotel
64,Juba,SS,73.53,scattered clouds,4.8517,31.5825,Hotel Juba Regency
65,San Quintin,MX,59.38,overcast clouds,30.4833,-115.95,Jardines Hotel
66,Hilo,US,88.29,clear sky,19.7297,-155.09,Dolphin Bay Hotel
67,Amuntai,ID,79.81,overcast clouds,-2.4177,115.2494,Grand Balqis Hotel
70,Thompson,CA,8.76,light snow,55.7435,-97.8558,Thompson Inn
71,Hermanus,ZA,55.8,clear sky,-34.4187,19.2345,Aloe guest house
73,Gazojak,TM,40.51,overcast clouds,41.1875,61.4036,Жайхун
75,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Grand Bel Air
76,Klaksvik,FO,29.32,overcast clouds,62.2266,-6.589,Hotel Klaksvik
77,Sisimiut,GL,17.53,overcast clouds,66.9395,-53.6735,Sømandshjemmet
78,Burriana,ES,47.7,clear sky,39.889,-0.085,Hotel Aloha
80,Marienburg,PL,38.57,overcast clouds,54.0359,19.0266,Stary Malbork
82,Inirida,CO,74.46,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
83,Erwitte,DE,51.75,overcast clouds,51.6167,8.35,Schloss Erwitte
84,Sinnamary,GF,75.92,overcast clouds,5.3833,-52.95,Hôtel du fleuve
85,Erenhot,CN,18.81,overcast clouds,43.6475,111.9767,Oulen hotel
86,Paamiut,GL,18.99,overcast clouds,61.994,-49.6678,Hotel Ivaana
89,Avarua,CK,80.65,moderate rain,-21.2078,-159.775,Paradise Inn
90,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
97,Igarka,RU,-45.0,clear sky,67.4667,86.5833,Заполярье
99,Santa Marta,CO,82.89,few clouds,11.2408,-74.199,Casa Mita
100,Stuttgart,DE,47.8,overcast clouds,48.7823,9.177,Hotel Unger
101,Gizo,SB,85.46,overcast clouds,-8.103,156.8419,Gizo Hotel
102,Isangel,VU,82.92,moderate rain,-19.55,169.2667,Tanna Lodge
103,Jan Kempdorp,ZA,60.3,clear sky,-27.9225,24.8305,Jan Kemp Hotel
105,Saint-Pierre,RE,76.91,few clouds,-21.3393,55.4781,Tropic Hotel
106,Taunggyi,MM,52.18,clear sky,20.7833,97.0333,Golden Island Cottages
107,Honiara,SB,83.44,light rain,-9.4333,159.95,King Solomon Hotel
108,Hamilton,US,36.39,broken clouds,39.1834,-84.5333,North Vista Manor
109,Nanortalik,GL,17.87,broken clouds,60.1432,-45.2371,Kap Farvel
114,Selma,US,57.13,clear sky,36.5708,-119.6121,Best Western
115,Kapoeta,SS,77.56,few clouds,4.7717,33.5903,Kuleu
116,Hammerfest,NO,27.05,few clouds,70.6634,23.6821,Thon Hotel Hammerfest
