City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bengkulu,ID,-3.8004,102.2655,73.45,91,89,4.5,light rain
1,Norman Wells,CA,65.282,-126.8329,-9.36,77,100,0.0,overcast clouds
2,Pitimbu,BR,-7.4706,-34.8086,79.39,76,38,11.5,scattered clouds
3,Sao Filipe,CV,14.8961,-24.4956,75.51,64,100,10.49,overcast clouds
4,Sobolevo,RU,54.4299,31.8996,10.9,88,100,13.89,overcast clouds
5,Kapaa,US,22.0752,-159.319,80.92,72,0,6.91,clear sky
6,Sanming,CN,26.2486,117.6186,49.24,96,15,1.21,few clouds
7,East London,ZA,-33.0153,27.9116,63.36,86,100,8.25,light rain
8,Mahebourg,MU,-20.4081,57.7,79.25,78,40,11.5,light rain
9,Atuona,PF,-9.8,-139.0333,78.58,75,9,16.84,clear sky
10,Carnarvon,AU,-24.8667,113.6333,74.82,87,18,12.86,few clouds
11,Hobart,AU,-42.8794,147.3294,61.23,66,32,4.21,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,78.76,74,5,17.52,clear sky
13,Kapoeta,SS,4.7717,33.5903,79.02,24,3,6.02,clear sky
14,Livramento,BR,-3.0254,-60.1803,81.28,89,75,5.75,moderate rain
15,Klaksvik,FO,62.2266,-6.589,40.12,90,100,32.48,light rain
16,Hermanus,ZA,-34.4187,19.2345,63.9,64,91,11.48,overcast clouds
17,Ca Mau,VN,9.1769,105.15,70.48,83,100,8.08,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,66.31,55,75,17.27,light rain
19,Tasiilaq,GL,65.6145,-37.6368,10.56,51,15,7.2,few clouds
20,Trinidad,BO,-14.8333,-64.9,85.98,62,20,2.3,few clouds
21,Talnakh,RU,69.4865,88.3972,-38.79,96,59,2.24,broken clouds
22,Busselton,AU,-33.65,115.3333,73.49,42,89,7.11,overcast clouds
23,Lagoa,PT,39.05,-27.9833,58.86,81,100,24.9,overcast clouds
24,Longyearbyen,SJ,78.2186,15.6401,28.24,74,40,13.8,scattered clouds
25,Catuday,PH,16.2923,119.8062,77.11,77,75,11.99,broken clouds
26,Ushuaia,AR,-54.8,-68.3,62.26,59,100,5.75,light rain
27,Lavrentiya,RU,65.5833,-171.0,4.86,95,100,4.27,overcast clouds
28,Saint-Francois,FR,46.4154,3.9054,47.68,100,100,2.3,fog
29,Retsag,HU,47.9282,19.1372,49.37,76,39,18.54,scattered clouds
30,Port Alfred,ZA,-33.5906,26.891,63.18,85,100,1.01,light rain
31,Flin Flon,CA,54.7682,-101.865,12.04,85,100,4.61,light snow
32,Kualakapuas,ID,-3.0091,114.3876,74.59,95,95,2.04,overcast clouds
33,Cha Grande,BR,-8.2383,-35.4617,71.29,89,1,7.96,clear sky
34,Kyaikto,MM,17.3,97.0167,70.54,69,51,3.38,broken clouds
35,Hithadhoo,MV,-0.6,73.0833,80.42,69,2,10.13,clear sky
36,Jiuquan,CN,39.7432,98.5174,21.31,39,0,3.58,clear sky
37,Tecoanapa,MX,16.5167,-98.75,81.57,72,1,7.31,clear sky
38,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,20,2.3,few clouds
39,La Ronge,CA,55.1001,-105.2842,10.65,92,100,2.3,light snow
40,Camacha,PT,33.0833,-16.3333,58.42,77,40,2.3,scattered clouds
41,Kalmunai,LK,7.4167,81.8167,74.44,90,76,5.44,broken clouds
42,Honiara,SB,-9.4333,159.95,83.23,79,40,4.25,scattered clouds
43,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,94,100,13.8,overcast clouds
44,Faanui,PF,-16.4833,-151.75,81.75,65,58,11.32,broken clouds
45,Haines Junction,CA,60.7522,-137.5108,6.75,85,100,1.14,overcast clouds
46,Geraldton,AU,-28.7667,114.6,75.61,27,2,5.75,clear sky
47,Grand Gaube,MU,-20.0064,57.6608,79.38,71,20,8.99,few clouds
48,Darhan,MN,49.4867,105.9228,-8.03,97,11,6.33,few clouds
49,Linxia,CN,35.6003,103.2064,27.52,24,0,2.84,clear sky
50,Airai,TL,-8.9266,125.4092,64.13,84,96,4.43,overcast clouds
51,Vaini,TO,-21.2,-175.2,77.16,94,75,11.5,moderate rain
52,Bredasdorp,ZA,-34.5322,20.0403,64.04,58,86,9.15,overcast clouds
53,Nabire,ID,-3.3667,135.4833,78.08,87,100,1.9,overcast clouds
54,Arcachon,FR,44.5875,-1.0519,53.92,94,75,1.14,broken clouds
55,Santiago,CL,-33.4569,-70.6483,82.29,37,40,16.11,scattered clouds
56,Juneau,US,58.3019,-134.4197,37.22,97,100,0.0,overcast clouds
57,Mataura,NZ,-46.1927,168.8643,76.3,54,94,4.32,overcast clouds
58,Banda Aceh,ID,5.5577,95.3222,77.18,80,98,4.29,overcast clouds
59,Dikson,RU,73.5069,80.5464,-29.56,100,98,5.14,overcast clouds
60,Mount Isa,AU,-20.7333,139.5,78.57,53,98,3.44,overcast clouds
61,San Luis Rio Colorado,MX,32.4631,-114.7767,70.9,34,38,7.31,scattered clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,82.36,91,54,5.99,broken clouds
63,Golden,US,39.7555,-105.2211,46.71,45,75,5.75,broken clouds
64,Ilulissat,GL,69.2167,-51.1,3.22,55,20,1.14,few clouds
65,Salalah,OM,17.0151,54.0924,77.09,65,75,14.97,broken clouds
66,Taltal,CL,-25.4,-70.4833,68.95,74,3,6.31,clear sky
67,Xudat,AZ,41.631,48.681,42.84,85,69,4.38,broken clouds
68,Avarua,CK,-21.2078,-159.775,80.65,69,75,11.5,broken clouds
69,Krasnyy Chikoy,RU,50.3643,108.7512,-5.17,100,99,1.57,overcast clouds
70,Upernavik,GL,72.7868,-56.1549,-19.23,78,11,9.78,few clouds
71,Agadez,NE,19.75,10.25,56.73,40,43,4.41,scattered clouds
72,Simpang,ID,-1.2667,104.0833,73.29,97,100,2.8,overcast clouds
73,Namatanai,PG,-3.6667,152.4333,83.44,75,82,5.97,broken clouds
74,Maldonado,UY,-34.6667,-54.9167,78.19,45,3,12.3,clear sky
75,Boat Of Garten,GB,57.2491,-3.759,42.35,87,100,15.57,overcast clouds
76,Skagen,DK,57.7209,10.5839,36.57,81,100,21.77,overcast clouds
77,Sorong,ID,-0.8833,131.25,82.92,77,93,11.39,overcast clouds
78,Cap Malheureux,MU,-19.9842,57.6142,79.47,71,19,8.99,few clouds
79,Qasigiannguit,GL,68.8193,-51.1922,3.45,80,88,3.74,overcast clouds
80,Souillac,MU,-20.5167,57.5167,79.18,78,40,11.5,scattered clouds
81,Topeka,US,39.0483,-95.678,46.18,46,0,13.8,clear sky
82,Gao,ML,16.6362,1.637,66.61,19,18,11.97,few clouds
83,Cidreira,BR,-30.1811,-50.2056,71.98,75,0,10.25,clear sky
84,Butaritari,KI,3.0707,172.7902,81.27,73,94,11.34,overcast clouds
85,Mnogovershinnyy,RU,53.9353,139.9242,-11.42,89,20,4.9,few clouds
86,Ternate,ID,0.8,127.4,81.54,80,100,7.27,overcast clouds
87,Nenjiang,CN,49.1833,125.2167,-24.66,100,33,1.1,scattered clouds
88,Isangel,VU,-19.55,169.2667,80.26,90,100,18.68,overcast clouds
89,Bethel,US,41.3712,-73.414,47.25,87,100,8.05,overcast clouds
90,Hilo,US,19.7297,-155.09,88.29,70,20,9.22,few clouds
91,Pundaguitan,PH,6.3711,126.1689,80.83,77,74,11.48,broken clouds
92,Ribeira Brava,PT,32.65,-17.0667,63.72,80,31,2.59,scattered clouds
93,Dahuk,IQ,36.8695,42.994,43.52,88,88,4.0,overcast clouds
94,Cape Town,ZA,-33.9258,18.4232,64.27,70,20,13.8,few clouds
95,Faya,SA,18.3851,42.4509,51.91,53,19,4.29,few clouds
96,Sitka,US,57.0531,-135.33,42.69,70,100,6.91,overcast clouds
97,Almaznyy,RU,48.0448,40.045,39.29,97,100,17.92,overcast clouds
98,New Norfolk,AU,-42.7826,147.0587,60.89,52,2,1.99,clear sky
99,Bintulu,MY,3.1667,113.0333,75.61,100,20,3.44,few clouds
100,Meulaboh,ID,4.1363,96.1285,75.18,90,97,2.55,light rain
101,Coos Bay,US,43.3665,-124.2179,53.58,91,100,16.11,mist
102,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,23.02,scattered clouds
103,Mar Del Plata,AR,-38.0023,-57.5575,75.22,88,0,8.05,clear sky
104,Lata,PT,40.1629,-8.3327,44.08,82,5,2.73,clear sky
105,Ahipara,NZ,-35.1667,173.1667,68.13,98,100,3.49,overcast clouds
106,Progreso,MX,21.2833,-89.6667,83.1,78,29,10.94,light rain
107,Ancud,CL,-41.8697,-73.8203,61.25,77,26,9.06,scattered clouds
108,Albany,US,42.6001,-73.9662,45.25,88,100,3.65,overcast clouds
109,Kavaratti,IN,10.5669,72.642,80.28,70,0,8.72,clear sky
110,Prince Rupert,CA,54.3161,-130.3201,44.29,76,100,18.41,overcast clouds
111,Puro,PH,12.4841,123.3827,77.32,89,99,12.48,overcast clouds
112,Shahabad,IN,27.65,79.95,42.6,58,0,5.41,clear sky
113,Dongsheng,CN,39.8161,109.9776,20.1,40,1,23.67,clear sky
114,Half Moon Bay,US,37.4636,-122.4286,56.32,90,100,12.66,overcast clouds
115,Mirnyy,RU,62.5353,113.9611,-17.1,99,100,2.8,overcast clouds
116,Leningradskiy,RU,69.3833,178.4167,-23.4,98,99,7.47,overcast clouds
117,Castro,BR,-24.7911,-50.0119,57.79,93,62,7.67,broken clouds
118,Nueva Loja,EC,0.0847,-76.8828,78.82,78,75,5.75,broken clouds
119,Nago,JP,26.5881,127.9761,65.25,69,88,9.6,overcast clouds
120,Bassila,BJ,9.0081,1.6654,77.77,27,91,3.49,overcast clouds
121,Yellowknife,CA,62.456,-114.3525,7.32,85,100,6.91,light snow
122,Vardo,NO,70.3705,31.1107,30.18,80,100,28.77,overcast clouds
123,Namibe,AO,-15.1961,12.1522,70.79,80,78,7.23,broken clouds
124,Qaanaaq,GL,77.484,-69.3632,-14.49,79,97,8.37,overcast clouds
125,Dingle,PH,10.9995,122.6711,75.45,91,99,7.2,overcast clouds
126,Torbay,CA,47.6666,-52.7314,23.58,70,20,14.97,few clouds
127,Saskylakh,RU,71.9167,114.0833,-30.17,99,100,1.5,overcast clouds
128,Coahuayana,MX,18.7333,-103.6833,83.37,62,0,5.61,clear sky
129,Okhotsk,RU,59.3833,143.3,-13.27,87,73,11.41,broken clouds
130,Georgetown,MY,5.4112,100.3354,78.73,77,20,5.99,few clouds
131,Athabasca,CA,54.7169,-113.2854,10.81,85,90,7.36,overcast clouds
132,Cabo San Lucas,MX,22.8909,-109.9124,84.61,43,0,10.36,clear sky
133,Laguna,US,38.421,-121.4238,54.05,93,100,9.22,overcast clouds
134,Denpasar,ID,-8.65,115.2167,78.46,94,75,18.41,broken clouds
135,Mananjary,MG,-21.2167,48.3333,74.43,90,98,5.19,overcast clouds
136,Barrow,US,71.2906,-156.7887,-0.38,78,100,23.02,overcast clouds
137,Lebu,CL,-37.6167,-73.65,61.29,83,65,4.23,broken clouds
138,Hukuntsi,BW,-24.0,21.75,73.99,31,10,11.61,clear sky
139,Woodward,US,36.4337,-99.3904,52.83,34,0,3.44,clear sky
140,Bisalpur,IN,28.3,79.8,42.33,52,0,5.17,clear sky
141,Manbij,SY,36.5281,37.9549,44.6,81,3,4.56,clear sky
142,Sinnamary,GF,5.3833,-52.95,74.77,90,100,5.53,overcast clouds
143,Sistranda,NO,63.7256,8.834,30.16,70,100,16.82,light snow
144,Kefamenanu,ID,-9.4467,124.4781,75.02,86,75,6.17,broken clouds
145,Malegaon,IN,20.55,74.5333,69.69,59,100,9.01,overcast clouds
146,Ribeira Grande,PT,38.5167,-28.7,60.78,79,97,15.01,overcast clouds
147,Sarangani,PH,5.4033,125.4636,82.06,77,55,19.48,broken clouds
148,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,62,12.68,broken clouds
149,Bell Ville,AR,-32.6259,-62.6887,89.67,14,31,8.01,scattered clouds
150,Cherskiy,RU,68.75,161.3,-51.88,100,67,3.24,broken clouds
151,Thompson,CA,55.7435,-97.8558,10.56,92,100,5.75,light snow
152,Victoria,HK,22.2855,114.1577,66.25,78,99,7.67,overcast clouds
153,Playa Vicente,MX,17.8333,-95.8167,76.51,72,12,8.5,few clouds
154,Imbituba,BR,-28.24,-48.6703,69.24,79,0,3.94,clear sky
155,Merida,MX,20.9667,-89.6167,83.01,65,75,11.01,broken clouds
156,Benghazi,LY,32.1167,20.0667,62.35,64,0,6.38,clear sky
157,Rio De Janeiro,BR,-22.9028,-43.2075,73.4,89,100,9.22,mist
158,Pedasi,PA,7.5333,-80.0333,80.1,77,0,11.99,light rain
159,Asau,RO,46.4333,26.4,40.28,77,83,12.06,broken clouds
160,Ondjiva,AO,-17.0667,15.7333,70.25,39,80,4.18,broken clouds
161,Gannan,CN,47.9147,123.5031,-12.12,93,8,4.41,clear sky
162,Whyalla,AU,-33.0333,137.5833,69.96,49,0,9.17,clear sky
163,Ankang,CN,32.68,109.0172,41.77,78,0,0.96,clear sky
164,Gunjur,GM,13.2019,-16.7339,77.54,37,100,12.46,overcast clouds
165,Guerrero Negro,MX,27.9769,-114.0611,63.95,64,37,15.39,scattered clouds
166,Srednekolymsk,RU,67.45,153.6833,-48.26,99,88,2.28,overcast clouds
167,Pacific Grove,US,36.6177,-121.9166,55.42,91,100,8.99,overcast clouds
168,Santa Catalina,PH,9.3337,122.8637,80.58,85,90,6.6,overcast clouds
